Number of vertices,Number of edges,Time in nanoseconds,Time in seconds,Count

100,100,30840970,0.03084097,781
100,200,22136167,0.022136167,1054
100,300,78138636,0.078138636,810
100,400,16871764,0.016871764,968
100,500,14680721,0.014680721,1081
100,600,15550512,0.015550512,1184
100,700,19008187,0.019008187,1199
100,800,19160265,0.019160265,1138
100,900,22470474,0.022470474,1349
100,1000,24919469,0.024919469,1192
100,1100,28158541,0.028158541,1279
100,1200,28020678,0.028020678,1433
100,1300,30540189,0.030540189,1379
100,1400,32429604,0.032429604,1579
100,1500,32886631,0.032886631,1506
100,1600,34703422,0.034703422,1521
100,1700,40754903,0.040754903,1584
100,1800,40827145,0.040827145,1602
100,1900,43066445,0.043066445,1606
100,2000,48527730,0.04852773,1696
100,2100,48617476,0.048617476,2070
100,2200,64213037,0.064213037,1746
100,2300,54999304,0.054999304,1769
100,2400,60999475,0.060999475,1794
100,2500,58717271,0.058717271,1804
100,2600,61208480,0.06120848,1856
100,2700,64708047,0.064708047,2078
100,2800,66769302,0.066769302,1876
100,2900,70495496,0.070495496,2002
100,3000,60258592,0.060258592,1976
100,3100,64933369,0.064933369,1923
100,3200,65590220,0.06559022,2120
100,3300,69154798,0.069154798,2319
100,3400,69206054,0.069206054,1972
100,3500,66843483,0.066843483,2072
100,3600,69948569,0.069948569,2178
100,3700,74319722,0.074319722,2299
100,3800,81937787,0.081937787,2189
100,3900,83079622,0.083079622,2245
100,4000,82948237,0.082948237,2146
100,4100,173008850,0.17300885,2428
100,4200,84873355,0.084873355,2560
100,4300,84364081,0.084364081,2451
100,4400,85897429,0.085897429,2559
100,4500,95786117,0.095786117,2489
100,4600,94135428,0.094135428,2529
100,4700,91596603,0.091596603,2515
100,4800,86064111,0.086064111,2233
100,4900,89293456,0.089293456,2473
100,5000,88660136,0.088660136,2357
100,5100,93231775,0.093231775,2394
100,5200,97337493,0.097337493,2462
100,5300,99831758,0.099831758,3044
100,5400,96863207,0.096863207,2395
100,5500,103623035,0.103623035,2556
100,5600,105046297,0.105046297,2536
100,5700,102196007,0.102196007,2704
100,5800,105069709,0.105069709,2596
100,5900,99781825,0.099781825,2608
100,6000,103885304,0.103885304,2518
100,6100,111870604,0.111870604,2467
100,6200,111060202,0.111060202,2707
100,6300,105011642,0.105011642,2489
100,6400,108174094,0.108174094,2636
100,6500,106186356,0.106186356,2633
100,6600,108245017,0.108245017,2670
100,6700,170371894,0.170371894,2540
100,6800,116862924,0.116862924,2614
100,6900,116466355,0.116466355,2613
100,7000,99253302,0.099253302,2581
100,7100,116099141,0.116099141,2474
100,7200,112607934,0.112607934,2876
100,7300,110583730,0.11058373,2918
100,7400,113962874,0.113962874,2519
100,7500,113316778,0.113316778,2574
100,7600,113629401,0.113629401,3079
100,7700,113216848,0.113216848,2685
100,7800,115248422,0.115248422,2780
100,7900,114672258,0.114672258,2608
100,8000,113377943,0.113377943,2926
100,8100,116752826,0.116752826,2587
100,8200,120077398,0.120077398,2712
100,8300,120226255,0.120226255,2516
100,8400,117620155,0.117620155,2623
100,8500,117378061,0.117378061,2952
100,8600,120870355,0.120870355,2654
100,8700,123433079,0.123433079,2810
100,8800,118638616,0.118638616,2955
100,8900,122915226,0.122915226,2758
100,9000,126432945,0.126432945,2869
100,9100,125049164,0.125049164,2979
100,9200,120900498,0.120900498,2596
100,9300,156705966,0.156705966,2948
100,9400,150254568,0.150254568,2586
100,9500,133034324,0.133034324,2633
100,9600,135191062,0.135191062,2809
100,9700,129751482,0.129751482,2915
100,9800,132307129,0.132307129,3106
100,9900,121821976,0.121821976,3066
